Correlation Table - 50 periods
https://www.mataf.net
Sat, 22 Jul 2023 20:27:37 +0000
pair1,pair2,5min,15min,1h,4h,day,week
EURUSD,USDCHF,-64.2,-23.5,-98,-96.5,-96.5,0
GBPUSD,EURUSD,73,26.8,91.7,62.4,94.5,0
GBPUSD,GBPUSD,100,100,100,100,100,0
GBPUSD,GBPCAD,33.7,49.3,74.6,93.2,80.9,0
GBPUSD,CHFJPY,2.9,28.3,-16.6,-36.4,80.7,0
GBPUSD,NZDUSD,50.4,-11.2,85.6,89.9,73.3,0
GBPUSD,EURJPY,11,51.2,-43.3,-36.8,74.1,0
GBPUSD,AUDUSD,48.6,18.4,65.4,74.1,77.4,0
GBPUSD,GBPJPY,39,84.6,-47.6,21.1,78.7,0
GBPUSD,EURCAD,-1.3,8.8,81.8,57.8,46.2,0
GBPUSD,NZDJPY,52.8,11.5,23.7,56.5,68.6,0
GBPUSD,AUDJPY,41.6,37.9,-54.6,-9.6,66.5,0
GBPUSD,GBPAUD,7.6,46.9,-9.6,23.9,47.2,0
GBPUSD,CADJPY,11.9,20.1,-74.3,-85.1,52.4,0
GBPUSD,GBPNZD,-21.6,54.4,-62.8,-45,54.2,0
GBPUSD,EURNZD,-32.4,20.5,-65.7,-73.9,32.7,0
GBPUSD,EURAUD,-16,-9.6,0.4,-41.4,16.6,0
GBPUSD,NZDCAD,35.8,-22.8,87.4,92.7,8.1,0
GBPUSD,AUDCAD,14,35.8,57.8,81.7,24.5,0
GBPUSD,USDJPY,-28.2,44.6,-78.3,-86.8,11.8,0
GBPUSD,AUDNZD,-46.2,52.1,-88.2,-79.8,11,0
GBPUSD,GBPCHF,74.5,90.2,-56.4,48.4,22,0
GBPUSD,EURGBP,-61.5,-85.9,25.4,-54.5,-55.7,0
GBPUSD,EURCHF,19.2,53.4,-70.6,19.8,-24.9,0
GBPUSD,AUDCHF,31.2,29.7,-27.5,46.1,-21.6,0
GBPUSD,NZDCHF,40.9,2,36.7,71.3,-38.5,0
GBPUSD,CADCHF,14,11.9,-79.8,-45.1,-40.9,0
GBPUSD,USDCAD,-48.6,0.1,-69.3,-25.6,-86.6,0
GBPUSD,USDCHF,-63.5,38.3,-90,-47.5,-87.4,0
GBPCAD,EURUSD,56.4,-20.5,54.3,47.4,81.7,0
GBPCAD,GBPUSD,33.7,49.3,74.6,93.2,80.9,0
GBPCAD,GBPCAD,100,100,100,100,100,0
GBPCAD,CHFJPY,8,10.7,16.7,-43.1,53.9,0
GBPCAD,NZDUSD,-9,-81.3,35.4,73.4,69.4,0
GBPCAD,EURJPY,20.4,-10,-5.2,-36.9,40.8,0
GBPCAD,AUDUSD,6,-70.8,6.5,49.8,48.2,0
GBPCAD,GBPJPY,14.1,28.1,0.2,33.5,43.4,0
GBPCAD,EURCAD,88.1,87.3,78.8,58.1,80.5,0
GBPCAD,NZDJPY,-18.2,-75,6.2,42,37,0
GBPCAD,AUDJPY,-1.2,-52.9,-55.1,-26.9,19.4,0
GBPCAD,GBPAUD,14.5,94.8,48.6,50.1,58.2,0
GBPCAD,CADJPY,-54.3,-68.3,-41.3,-85.3,5,0
GBPCAD,GBPNZD,22.9,90.8,-3.9,-20.9,31.1,0
GBPCAD,EURNZD,24.9,81.4,-10.6,-63.5,19.2,0
GBPCAD,EURAUD,19.5,70.1,51.9,-20.4,38.7,0
GBPCAD,NZDCAD,18.5,0.6,45.9,84.6,43.9,0
GBPCAD,AUDCAD,52.6,73.8,7.4,66.7,30.3,0
GBPCAD,USDJPY,-7.6,-0.5,-33.1,-73.9,-23,0
GBPCAD,AUDNZD,25.1,58.3,-74.4,-83.6,-24.5,0
GBPCAD,GBPCHF,13.6,29.4,-30.1,61.5,-10.1,0
GBPCAD,EURGBP,16.7,-60.2,-15.2,-62.4,-31.4,0
GBPCAD,EURCHF,36.6,-26.5,-66.4,44.2,-52.6,0
GBPCAD,AUDCHF,-8.2,-62.6,-67.5,37,-49,0
GBPCAD,NZDCHF,-18.9,-80.3,-17.2,67.9,-39.2,0
GBPCAD,CADCHF,-80.1,-77.5,-76.3,-37.1,-75.5,0
GBPCAD,USDCAD,65.7,87,-3.7,11.3,-40.7,0
GBPCAD,USDCHF,-33.5,-13.7,-60.9,-27.6,-84.4,0
CHFJPY,EURUSD,27.7,26,-11.6,40.3,81.6,0
CHFJPY,GBPUSD,2.9,28.3,-16.6,-36.4,80.7,0
CHFJPY,GBPCAD,8,10.7,16.7,-43.1,53.9,0
CHFJPY,CHFJPY,100,100,100,100,100,0
CHFJPY,NZDUSD,-55.6,-15.9,-43.9,-24,45.2,0
CHFJPY,EURJPY,92.9,80,94.7,97.2,96.9,0
CHFJPY,AUDUSD,-53.4,-0.4,-49.6,5.7,44.4,0
CHFJPY,GBPJPY,86.6,62.8,84.9,33.3,93,0
CHFJPY,EURCAD,20.2,4.4,17.7,38.2,34.3,0
CHFJPY,NZDJPY,-22.7,24,64.7,25.3,83,0
CHFJPY,AUDJPY,28.6,41.6,56.6,77,74.4,0
CHFJPY,GBPAUD,63.5,18.8,52.9,-56.5,63.2,0
CHFJPY,CADJPY,67.5,38.2,70.4,63.3,79.8,0
CHFJPY,GBPNZD,63.2,26,55.3,-1.7,61,0
CHFJPY,EURNZD,63.6,24.9,69.5,67.6,55.2,0
CHFJPY,EURAUD,69.3,11.3,66.6,46.1,43.3,0
CHFJPY,NZDCAD,-60.8,-38.6,-41.8,-30.7,-17.8,0
CHFJPY,AUDCAD,-49.7,-9.9,-49.6,1,-20.8,0
CHFJPY,USDJPY,88.1,78,67.6,52.5,57.1,0
CHFJPY,AUDNZD,50.6,31.8,15.2,65.2,2,0
CHFJPY,GBPCHF,3,23.8,-27.8,-88.4,14.3,0
CHFJPY,EURGBP,31.8,-14.2,4.7,87.6,-31.6,0
CHFJPY,EURCHF,40.1,25.7,-42.8,-67.4,-10.9,0
CHFJPY,AUDCHF,-66.9,2.5,-70.3,-70,-38.6,0
CHFJPY,NZDCHF,-61.2,-12.3,-87.7,-76.7,-51.1,0
CHFJPY,CADCHF,-5.7,5.6,-28.3,-56.9,-27.5,0
CHFJPY,USDCAD,7,-3.8,43.3,-15.3,-79.4,0
CHFJPY,USDCHF,-0,7.9,-4.6,-53.8,-72.6,0
NZDUSD,EURUSD,21.3,38.4,92.1,71,77.6,0
NZDUSD,GBPUSD,50.4,-11.2,85.6,89.9,73.3,0
NZDUSD,GBPCAD,-9,-81.3,35.4,73.4,69.4,0
NZDUSD,CHFJPY,-55.6,-15.9,-43.9,-24,45.2,0
NZDUSD,NZDUSD,100,100,100,100,100,0
NZDUSD,EURJPY,-60.2,9.2,-67.3,-28.8,37.1,0
NZDUSD,AUDUSD,93.9,88.6,92.8,91.7,72.5,0
NZDUSD,GBPJPY,-42.1,-12.2,-78.8,0.9,37.4,0
NZDUSD,EURCAD,-30.7,-81.6,65.4,56,57.3,0
NZDUSD,NZDJPY,91.5,87,21.7,75.7,60.8,0
NZDUSD,AUDJPY,48.5,60.8,-43.9,14.8,37,0
NZDUSD,GBPAUD,-75.5,-86.9,-56.7,-14.7,12.3,0
NZDUSD,CADJPY,-28.8,63.7,-86.5,-75.8,11.5,0
NZDUSD,GBPNZD,-95.1,-89.5,-94,-79.6,-17.4,0
NZDUSD,EURNZD,-96.5,-96,-92,-80.8,-32.4,0
NZDUSD,EURAUD,-87.1,-82.6,-43.2,-59.8,1.8,0
NZDUSD,NZDCAD,92.3,36.8,98.6,97.1,67.5,0
NZDUSD,AUDCAD,58.2,-39.5,87,93.4,53.9,0
NZDUSD,USDJPY,-78.9,-10,-93.9,-87.2,-24.1,0
NZDUSD,AUDNZD,-92.6,-69.2,-72.7,-72.8,-30.6,0
NZDUSD,GBPCHF,11.8,-6.6,-63.5,25.4,-6.1,0
NZDUSD,EURGBP,-49.6,31.5,54.6,-32.9,-19.3,0
NZDUSD,EURCHF,-42.6,30.5,-53.8,-1.3,-32,0
NZDUSD,AUDCHF,87.7,73.6,14.2,54,-12.4,0
NZDUSD,NZDCHF,97.9,94.7,70.2,72.4,13.7,0
NZDUSD,CADCHF,15,74.4,-62.7,-50.6,-51.5,0
NZDUSD,USDCAD,-49.7,-87.2,-90.1,-50.5,-54.8,0
NZDUSD,USDCHF,-61.2,3.3,-85.1,-60.9,-75.1,0
EURJPY,EURUSD,43.8,48.6,-39.8,35.6,71.2,0
EURJPY,GBPUSD,11,51.2,-43.3,-36.8,74.1,0
EURJPY,GBPCAD,20.4,-10,-5.2,-36.9,40.8,0
EURJPY,CHFJPY,92.9,80,94.7,97.2,96.9,0
EURJPY,NZDUSD,-60.2,9.2,-67.3,-28.8,37.1,0
EURJPY,EURJPY,100,100,100,100,100,0
EURJPY,AUDUSD,-55.5,37.4,-66.7,-3.2,42.5,0
EURJPY,GBPJPY,90.6,82.9,94.8,45.7,97.5,0
EURJPY,EURCAD,34,-27.8,-11.6,40.9,16.7,0
EURJPY,NZDJPY,-29.8,52.5,51.1,24.8,88.5,0
EURJPY,AUDJPY,23.5,75.8,67.8,73.1,83.5,0
EURJPY,GBPAUD,70.7,-0.6,55,-44.1,56,0
EURJPY,CADJPY,62.6,72,88.5,63.8,90.5,0
EURJPY,GBPNZD,71.1,15.1,72.8,7.6,61.7,0
EURJPY,EURNZD,72.6,4.8,84.2,70.4,51.7,0
EURJPY,EURAUD,78.9,-21.4,61.6,54.8,33.1,0
EURJPY,NZDCAD,-63.8,-57.8,-66.7,-31.2,-28.1,0
EURJPY,AUDCAD,-47.9,-25.7,-65.8,-2.9,-25.2,0
EURJPY,USDJPY,86.8,89.1,86.4,59.1,71.7,0
EURJPY,AUDNZD,56.9,38.6,40.7,61,9.9,0
EURJPY,GBPCHF,22.5,59.6,-0.2,-79.2,33.5,0
EURJPY,EURGBP,38,-25.3,-11.1,82.9,-38.8,0
EURJPY,EURCHF,70.9,78.5,-11.5,-48,13.9,0
EURJPY,AUDCHF,-64.4,48.8,-54.2,-69.9,-21.8,0
EURJPY,NZDCHF,-64.1,24.2,-89.5,-74.4,-37.4,0
EURJPY,CADCHF,-4.8,49.2,2.6,-52.8,-5.9,0
EURJPY,USDCAD,12,-40.5,59.6,2.2,-80.6,0
EURJPY,USDCHF,10.9,49.2,26.1,-44.2,-56.7,0
AUDUSD,EURUSD,29.9,44.8,78.5,81.4,68.8,0
AUDUSD,GBPUSD,48.6,18.4,65.4,74.1,77.4,0
AUDUSD,GBPCAD,6,-70.8,6.5,49.8,48.2,0
AUDUSD,CHFJPY,-53.4,-0.4,-49.6,5.7,44.4,0
AUDUSD,NZDUSD,93.9,88.6,92.8,91.7,72.5,0
AUDUSD,EURJPY,-55.5,37.4,-66.7,-3.2,42.5,0
AUDUSD,AUDUSD,100,100,100,100,100,0
AUDUSD,GBPJPY,-42.9,22.4,-80.6,-2,50.5,0
AUDUSD,EURCAD,-12.8,-84.6,44.2,58.5,14.3,0
AUDUSD,NZDJPY,83,90.8,23.7,78.9,52.1,0
AUDUSD,AUDJPY,58.5,85,-18,44.9,69.5,0
AUDUSD,GBPAUD,-83.4,-78.2,-81.6,-47.4,-19.2,0
AUDUSD,CADJPY,-39.4,80.5,-76.1,-52.8,35.2,0
AUDUSD,GBPNZD,-88.7,-66.5,-96.4,-84.5,22.5,0
AUDUSD,EURNZD,-87.9,-81.6,-92.4,-60.4,-4.9,0
AUDUSD,EURAUD,-89.2,-92.8,-70.2,-59.7,-44.4,0
AUDUSD,NZDCAD,91.9,4.6,88.6,82.5,13.9,0
AUDUSD,AUDCAD,74.7,-29.1,97.1,95.5,70.1,0
AUDUSD,USDJPY,-78.1,19.2,-86.2,-73.2,-7.8,0
AUDUSD,AUDNZD,-74.2,-27.8,-41.9,-39.3,43.3,0
AUDUSD,GBPCHF,6.4,27.9,-56.4,-7.2,31.8,0
AUDUSD,EURGBP,-37.1,5.1,61.5,-2.5,-54.3,0
AUDUSD,EURCHF,-34.2,60,-34.7,-31.7,-6.6,0
AUDUSD,AUDCHF,93.2,93.5,43.3,41.3,33.9,0
AUDUSD,NZDCHF,90.3,93.1,78.8,46.7,1.3,0
AUDUSD,CADCHF,-1.3,87.1,-41.7,-63.1,-11.8,0
AUDUSD,USDCAD,-34.1,-91.9,-91.1,-70.4,-79.4,0
AUDUSD,USDCHF,-64.8,31.6,-69.1,-78.5,-60.3,0
GBPJPY,EURUSD,42.2,17.9,-56.1,12.8,68.8,0
GBPJPY,GBPUSD,39,84.6,-47.6,21.1,78.7,0
GBPJPY,GBPCAD,14.1,28.1,0.2,33.5,43.4,0
GBPJPY,CHFJPY,86.6,62.8,84.9,33.3,93,0
GBPJPY,NZDUSD,-42.1,-12.2,-78.8,0.9,37.4,0
GBPJPY,EURJPY,90.6,82.9,94.8,45.7,97.5,0
GBPJPY,AUDUSD,-42.9,22.4,-80.6,-2,50.5,0
GBPJPY,GBPJPY,100,100,100,100,100,0
GBPJPY,EURCAD,8.6,-11,-26.1,28.9,7,0
GBPJPY,NZDJPY,-10.4,31,33.3,41.4,87.8,0
GBPJPY,AUDJPY,31.9,62.8,58,36.5,88.7,0
GBPJPY,GBPAUD,73.9,33.9,69.8,30.2,52,0
GBPJPY,CADJPY,75.4,50.9,91,20.7,92.1,0
GBPJPY,GBPNZD,60.5,48.2,87.4,27.6,67.9,0
GBPJPY,EURNZD,53.5,18.6,89.3,9.8,47.6,0
GBPJPY,EURAUD,65,-17.7,65,21.2,19.7,0
GBPJPY,NZDCAD,-55.7,-54.1,-77.4,9.6,-32.1,0
GBPJPY,AUDCAD,-55.2,5.6,-79.5,10.5,-17.8,0
GBPJPY,USDJPY,77.2,85.5,92,30.2,70.6,0
GBPJPY,AUDNZD,35.1,60,43.5,-5.1,20.6,0
GBPJPY,GBPCHF,52.3,90.5,27.1,14.7,49.7,0
GBPJPY,EURGBP,-4.4,-75.1,-42.1,-11.9,-58.4,0
GBPJPY,EURCHF,58.5,68.8,4.2,19.5,19.5,0
GBPJPY,AUDCHF,-51.8,42.1,-51,-11.1,-9.1,0
GBPJPY,NZDCHF,-45.8,9,-88.1,-3.4,-31.7,0
GBPJPY,CADCHF,18.6,32.8,18.1,-19.2,3,0
GBPJPY,USDCAD,-16.3,-15.6,71.8,31.6,-85.5,0
GBPJPY,USDCHF,2.9,63.2,43,-5.3,-53.1,0
EURCAD,EURUSD,50.8,-9.3,86.6,91.1,65.9,0
EURCAD,GBPUSD,-1.3,8.8,81.8,57.8,46.2,0
EURCAD,GBPCAD,88.1,87.3,78.8,58.1,80.5,0
EURCAD,CHFJPY,20.2,4.4,17.7,38.2,34.3,0
EURCAD,NZDUSD,-30.7,-81.6,65.4,56,57.3,0
EURCAD,EURJPY,34,-27.8,-11.6,40.9,16.7,0
EURCAD,AUDUSD,-12.8,-84.6,44.2,58.5,14.3,0
EURCAD,GBPJPY,8.6,-11,-26.1,28.9,7,0
EURCAD,EURCAD,100,100,100,100,100,0
EURCAD,NZDJPY,-37.2,-88.2,31.5,53.1,12,0
EURCAD,AUDJPY,-8.2,-77.3,-41.2,27.8,-19.5,0
EURCAD,GBPAUD,14,81.4,4.7,-9.3,51.4,0
EURCAD,CADJPY,-51.9,-86.7,-56.5,-44.1,-26.9,0
EURCAD,GBPNZD,35.1,72.9,-44.3,-34.6,-4.2,0
EURCAD,EURNZD,45.7,85.1,-33.6,-2.4,13.6,0
EURCAD,EURAUD,36.5,90.2,28.8,25.1,63,0
EURCAD,NZDCAD,1.4,15.9,72.9,61.2,63.1,0
EURCAD,AUDCAD,45.9,67.2,44.3,71.4,18.8,0
EURCAD,USDJPY,10.7,-26.6,-54.9,-41.8,-41.6,0
EURCAD,AUDNZD,47,37.3,-78.3,-28.5,-55.6,0
EURCAD,GBPCHF,-18.8,-16,-79.8,-26.1,-62,0
EURCAD,EURGBP,60.9,-13.7,48.9,27.4,31.1,0
EURCAD,EURCHF,47.9,-48.7,-87.4,-14.2,-71,0
EURCAD,AUDCHF,-25,-86.9,-56.8,-28.7,-75.1,0
EURCAD,NZDCHF,-39.3,-91.8,-2.6,-0.9,-42.1,0
EURCAD,CADCHF,-89,-95.2,-98.1,-94.3,-96.4,0
EURCAD,USDCAD,83.2,95.4,-37.4,-4.1,-3.1,0
EURCAD,USDCHF,-17.8,-48,-91.4,-81.8,-76.2,0
NZDJPY,EURUSD,25.5,37,36.3,65.1,64.1,0
NZDJPY,GBPUSD,52.8,11.5,23.7,56.5,68.6,0
NZDJPY,GBPCAD,-18.2,-75,6.2,42,37,0
NZDJPY,CHFJPY,-22.7,24,64.7,25.3,83,0
NZDJPY,NZDUSD,91.5,87,21.7,75.7,60.8,0
NZDJPY,EURJPY,-29.8,52.5,51.1,24.8,88.5,0
NZDJPY,AUDUSD,83,90.8,23.7,78.9,52.1,0
NZDJPY,GBPJPY,-10.4,31,33.3,41.4,87.8,0
NZDJPY,EURCAD,-37.2,-88.2,31.5,53.1,12,0
NZDJPY,NZDJPY,100,100,100,100,100,0
NZDJPY,AUDJPY,71.8,89.5,60.3,66.5,84.1,0
NZDJPY,GBPAUD,-61.4,-74.2,-12.8,-40.1,33.9,0
NZDJPY,CADJPY,4.1,90.9,27.8,-20.7,81.4,0
NZDJPY,GBPNZD,-85.3,-68.3,-16.7,-76,24.5,0
NZDJPY,EURNZD,-87.1,-82.4,-3.3,-51.3,5.9,0
NZDJPY,EURAUD,-73.3,-85.6,4.1,-45.7,11.7,0
NZDJPY,NZDCAD,78.2,-0,17.8,72.3,4.3,0
NZDJPY,AUDCAD,39.7,-48.8,18.7,80.7,-2.9,0
NZDJPY,USDJPY,-47.6,40.4,13.1,-34,62.4,0
NZDJPY,AUDNZD,-87.7,-39,-9.4,-38.5,-7.6,0
NZDJPY,GBPCHF,19.2,25.6,-57.4,-6,40,0
NZDJPY,EURGBP,-46.1,8,41.5,1.4,-40.1,0
NZDJPY,EURCHF,-29,59.2,-56.6,-16.3,23.4,0
NZDJPY,AUDCHF,76.6,88,-25.2,35,-1.4,0
NZDJPY,NZDCHF,90.7,93.4,-20,42.7,5.5,0
NZDJPY,CADCHF,27.9,89.6,-42.5,-53.2,1,0
NZDJPY,USDCAD,-59.5,-92.8,-28.5,-42.8,-75.2,0
NZDJPY,USDCHF,-55.6,37,-44.5,-60.4,-48,0
AUDJPY,EURUSD,38.8,35.5,-39.5,43.5,53,0
AUDJPY,GBPUSD,41.6,37.9,-54.6,-9.6,66.5,0
AUDJPY,GBPCAD,-1.2,-52.9,-55.1,-26.9,19.4,0
AUDJPY,CHFJPY,28.6,41.6,56.6,77,74.4,0
AUDJPY,NZDUSD,48.5,60.8,-43.9,14.8,37,0
AUDJPY,EURJPY,23.5,75.8,67.8,73.1,83.5,0
AUDJPY,AUDUSD,58.5,85,-18,44.9,69.5,0
AUDJPY,GBPJPY,31.9,62.8,58,36.5,88.7,0
AUDJPY,EURCAD,-8.2,-77.3,-41.2,27.8,-19.5,0
AUDJPY,NZDJPY,71.8,89.5,60.3,66.5,84.1,0
AUDJPY,AUDJPY,100,100,100,100,100,0
AUDJPY,GBPAUD,-40.2,-52,-17.8,-77.7,6.7,0
AUDJPY,CADJPY,28.3,95.2,75.6,48.3,89.9,0
AUDJPY,GBPNZD,-41.1,-34.3,30.4,-43.4,50.8,0
AUDJPY,EURNZD,-39.9,-54.6,41.5,16.1,24.4,0
AUDJPY,EURAUD,-41,-79.9,-16.1,-16.9,-24.3,0
AUDJPY,NZDCAD,40,-33.2,-49.9,4,-33.6,0
AUDJPY,AUDCAD,32.4,-35,-14.2,37.2,11.8,0
AUDJPY,USDJPY,4.7,68,65.5,28,66.3,0
AUDJPY,AUDNZD,-30.3,6.2,73.7,43.3,47.5,0
AUDJPY,GBPCHF,16.2,55.4,2.3,-62.6,63.4,0
AUDJPY,EURGBP,-12.1,-19.2,11.8,58.5,-62.3,0
AUDJPY,EURCHF,7.4,78.8,15.7,-57,38.5,0
AUDJPY,AUDCHF,51.9,91.9,18.9,-8.2,33,0
AUDJPY,NZDCHF,46.6,76.3,-34.8,-27.8,-3.9,0
AUDJPY,CADCHF,11.3,88,32.2,-44.2,28.6,0
AUDJPY,USDCAD,-33.4,-82.3,22.6,-45.4,-87,0
AUDJPY,USDCHF,-41.9,60.4,34.3,-53.7,-34.3,0
GBPAUD,EURUSD,12.3,-23.2,-33.1,-36.2,50.5,0
GBPAUD,GBPUSD,7.6,46.9,-9.6,23.9,47.2,0
GBPAUD,GBPCAD,14.5,94.8,48.6,50.1,58.2,0
GBPAUD,CHFJPY,63.5,18.8,52.9,-56.5,63.2,0
GBPAUD,NZDUSD,-75.5,-86.9,-56.7,-14.7,12.3,0
GBPAUD,EURJPY,70.7,-0.6,55,-44.1,56,0
GBPAUD,AUDUSD,-83.4,-78.2,-81.6,-47.4,-19.2,0
GBPAUD,GBPJPY,73.9,33.9,69.8,30.2,52,0
GBPAUD,EURCAD,14,81.4,4.7,-9.3,51.4,0
GBPAUD,NZDJPY,-61.4,-74.2,-12.8,-40.1,33.9,0
GBPAUD,AUDJPY,-40.2,-52,-17.8,-77.7,6.7,0
GBPAUD,GBPAUD,100,100,100,100,100,0
GBPAUD,CADJPY,52.7,-59.2,43.5,-35.3,32.5,0
GBPAUD,GBPNZD,87.8,94.4,78.9,63.1,53.2,0
GBPAUD,EURNZD,80.2,86.6,71.5,-10,57.8,0
GBPAUD,EURAUD,91.9,77.3,92.7,31.5,87.3,0
GBPAUD,NZDCAD,-82.5,-19.3,-49.7,2.3,-7.2,0
GBPAUD,AUDCAD,-76.3,48.4,-83.5,-31.1,-59.8,0
GBPAUD,USDJPY,71.6,11.6,53.6,-8.2,29.7,0
GBPAUD,AUDNZD,55.8,58.5,-12.2,-47.8,-42.9,0
GBPAUD,GBPCHF,38.9,32.2,30.8,74.2,-9.6,0
GBPAUD,EURGBP,4.2,-59.1,-61.3,-68.1,-11.2,0
GBPAUD,EURCHF,50.9,-19.8,-8.7,71.7,-28.8,0
GBPAUD,AUDCHF,-86.9,-65.1,-78.2,1.1,-80.5,0
GBPAUD,NZDCHF,-77.6,-82.5,-75.9,26.3,-61.3,0
GBPAUD,CADCHF,9.9,-70.5,-6.4,32.6,-46.5,0
GBPAUD,USDCAD,8.3,82.4,66.9,67.9,-23.8,0
GBPAUD,USDCHF,33.4,-3.7,21.9,51.7,-51.3,0
CADJPY,EURUSD,-1.6,32,-73.6,-42,41,0
CADJPY,GBPUSD,11.9,20.1,-74.3,-85.1,52.4,0
CADJPY,GBPCAD,-54.3,-68.3,-41.3,-85.3,5,0
CADJPY,CHFJPY,67.5,38.2,70.4,63.3,79.8,0
CADJPY,NZDUSD,-28.8,63.7,-86.5,-75.8,11.5,0
CADJPY,EURJPY,62.6,72,88.5,63.8,90.5,0
CADJPY,AUDUSD,-39.4,80.5,-76.1,-52.8,35.2,0
CADJPY,GBPJPY,75.4,50.9,91,20.7,92.1,0
CADJPY,EURCAD,-51.9,-86.7,-56.5,-44.1,-26.9,0
CADJPY,NZDJPY,4.1,90.9,27.8,-20.7,81.4,0
CADJPY,AUDJPY,28.3,95.2,75.6,48.3,89.9,0
CADJPY,GBPAUD,52.7,-59.2,43.5,-35.3,32.5,0
CADJPY,CADJPY,100,100,100,100,100,0
CADJPY,GBPNZD,35.3,-44.8,81.2,37,61.9,0
CADJPY,EURNZD,27.8,-58.9,85.7,71.4,44.4,0
CADJPY,EURAUD,41.3,-76.2,37.7,33,5.2,0
CADJPY,NZDCAD,-58.8,-41.6,-89.6,-82.5,-54.5,0
CADJPY,AUDCAD,-81.4,-61.9,-75.5,-63.3,-32.8,0
CADJPY,USDJPY,69.7,65.5,97.5,93.5,88.1,0
CADJPY,AUDNZD,12.3,-6.7,70.4,84,33.5,0
CADJPY,GBPCHF,36.6,42.5,37.2,-55.8,59.5,0
CADJPY,EURGBP,-16.4,-3.2,-32.2,58.4,-51.2,0
CADJPY,EURCHF,25,76.1,31.4,-35.1,44.3,0
CADJPY,AUDCHF,-37.4,88.1,-18.5,-44.7,11.1,0
CADJPY,NZDCHF,-25.3,78.9,-73.1,-72.5,-18.2,0
CADJPY,CADCHF,69.6,94.4,48.2,27.7,35.9,0
CADJPY,USDCAD,-58.3,-89.9,66.9,5.9,-77.3,0
CADJPY,USDCHF,24.3,60.3,64.5,25.7,-22.4,0
GBPNZD,EURUSD,2.1,-20.3,-78,-58.8,41,0
GBPNZD,GBPUSD,-21.6,54.4,-62.8,-45,54.2,0
GBPNZD,GBPCAD,22.9,90.8,-3.9,-20.9,31.1,0
GBPNZD,CHFJPY,63.2,26,55.3,-1.7,61,0
GBPNZD,NZDUSD,-95.1,-89.5,-94,-79.6,-17.4,0
GBPNZD,EURJPY,71.1,15.1,72.8,7.6,61.7,0
GBPNZD,AUDUSD,-88.7,-66.5,-96.4,-84.5,22.5,0
GBPNZD,GBPJPY,60.5,48.2,87.4,27.6,67.9,0
GBPNZD,EURCAD,35.1,72.9,-44.3,-34.6,-4.2,0
GBPNZD,NZDJPY,-85.3,-68.3,-16.7,-76,24.5,0
GBPNZD,AUDJPY,-41.1,-34.3,30.4,-43.4,50.8,0
GBPNZD,GBPAUD,87.8,94.4,78.9,63.1,53.2,0
GBPNZD,CADJPY,35.3,-44.8,81.2,37,61.9,0
GBPNZD,GBPNZD,100,100,100,100,100,0
GBPNZD,EURNZD,97.7,90.3,95.1,62.3,87.3,0
GBPNZD,EURAUD,92.7,65.3,65.1,64.2,21.8,0
GBPNZD,NZDCAD,-91.3,-41.3,-90.6,-69.8,-71.7,0
GBPNZD,AUDCAD,-60.1,49.5,-92.5,-77.4,-31.4,0
GBPNZD,USDJPY,78.1,28.3,89.8,57.8,47.2,0
GBPNZD,AUDNZD,88.4,81.9,51.3,37.9,53.6,0
GBPNZD,GBPCHF,12.1,46,58.2,15.5,39.5,0
